states,NAME_OF_LGA
ABIA,ABA NORTH
ABIA,ABA SOUTH
ABIA,AROCHUKWU
ABIA,BENDE
ABIA,IKWUANO
ABIA,ISIALA NGWA NORTH
ABIA,ISIALA NGWA SOUTH
ABIA,ISUIKWUATO
ABIA,OBINGWA
ABIA,OHAFIA
ABIA,OSISIOMA
ABIA,UGWUNAGBO
ABIA,UKWA EAST
ABIA,UKWA WEST
ABIA,UMUAHIA NORTH
ABIA,UMUAHIA SOUTH
ABIA,UMU-NNEOCHI
ADAMAWA,DEMSA
ADAMAWA,FURORE
ADAMAWA,GANYE
ADAMAWA,GEREI
ADAMAWA,GOMBI
ADAMAWA,GUYUK
ADAMAWA,HONG
ADAMAWA,JADA
ADAMAWA,LAMURDE
ADAMAWA,MADAGALI
ADAMAWA,MAIHA
ADAMAWA,MAYO-BELWA
ADAMAWA,MICHIKA
ADAMAWA,MUBI NORTH
ADAMAWA,MUBI SOUTH
ADAMAWA,NUMAN
ADAMAWA,SHELLENG
ADAMAWA,SONG
ADAMAWA,TUNGO
ADAMAWA,YOLA NORTH
ADAMAWA,YOLA SOUTH
AKWA_IBOM,ABAK
AKWA_IBOM,EASTERN OBOLO
AKWA_IBOM,EKET
AKWA_IBOM,ESIT EKET
AKWA_IBOM,ESSIEN UDIM
AKWA_IBOM,ETIM EKPO
AKWA_IBOM,ETINAN
AKWA_IBOM,IBENO
AKWA_IBOM,IBESIKPO/ASUTAN
AKWA_IBOM,IBIONO IBOM
AKWA_IBOM,IKA
AKWA_IBOM,IKONO 
AKWA_IBOM,IKOT ABASI
AKWA_IBOM,IKOT EKPENE
AKWA_IBOM,INI
AKWA_IBOM,ITU
AKWA_IBOM,MBO
AKWA_IBOM,MKPAT ENIN
AKWA_IBOM,NSIT ATAI
AKWA_IBOM,NSIT IBOM
AKWA_IBOM,NSIT UBIUM
AKWA_IBOM,OBOT AKARA
AKWA_IBOM,OKOBO
AKWA_IBOM,ONNAA
AKWA_IBOM,ORON
AKWA_IBOM,ORUKANAM
AKWA_IBOM,UDUNG UKO
AKWA_IBOM,UKANAFUN
AKWA_IBOM,URUAN
AKWA_IBOM,URUE OFFONG ORUKO
AKWA_IBOM,UYO
ANAMBRA,AGUATA
ANAMBRA,AYAMELUM
ANAMBRA,ANAMBRA EAST
ANAMBRA,ANAMBRA WEST
ANAMBRA,ANAOCHA
ANAMBRA,AWKA-NORTH
ANAMBRA,AWKA SOUTH
ANAMBRA,DUNUKOFIA
ANAMBRA,EKWUSIGO
ANAMBRA,IDEMILI NORTH
ANAMBRA,IDEMILI SOUTH
ANAMBRA,IHIALA
ANAMBRA,NJIKOKA
ANAMBRA,NNEWI NORTH
ANAMBRA,NNEWI SOUTH
ANAMBRA,OGBARU
ANAMBRA,ONITSHA NORTH
ANAMBRA,ONITSHA SOUTH
ANAMBRA,ORUMBA NORTH
ANAMBRA,ORUMBA SOUTH
ANAMBRA,OYI
BAUCHI,ALKALERI
BAUCHI,BAUCHI
BAUCHI,BOGORO
BAUCHI,DAMBAM
